2000,0.000
2001,0.02
2002,0.03
2003,0.04
2004,0.04
2005,0.05
2006,0.06
2007,0.07
2008,0.07
2009,0.08
2010,0.08
2011,0.1
2012,0.11
2013,0.11
2014,0.11
2015,0.12
2016,0.13
2017,0.14
2018,0.15
2019,0.16
2020,0.17
2021,0.18
2022,0.18
2023,0.19
2024,0.2
2025,0.21
2026,0.22
2027,0.23
2028,0.24
2029,0.25
2030,0.26
2031,0.27
2032,0.30
2033,0.31
2034,0.32
2035,0.33
2036,0.36
2037,0.40
2038,0.42
2039,0.44
2040,0.46
2041,0.47
2042,0.50
2043,0.51
2044,0.53
2045,0.54
2046,0.58
2047,0.59
2048,0.63
2049,0.64
2050,0.67
2051,0.68
2052,0.71
2053,0.72
2054,0.76
2055,0.80
2056,0.83
2057,0.85
2058,0.87
2059,0.93
2060,0.96
2061,0.99
2062,1.02
2063,1.04
2064,1.09
2065,1.11
2066,1.13
2067,1.16
2068,1.20
2069,1.23
2070,1.26
2071,1.30
2072,1.331
2073,1.371
2074,1.401
2075,1.431
2076,1.501
2077,1.541
2078,1.581
2079,1.601
2080,1.681
2081,1.721
2082,1.761
2083,1.801
2084,1.841
2085,1.871
2086,1.901
2087,1.941
2088,2.001
2089,2.041
2090,2.071
2091,2.111
2092,2.161
2093,2.191
2094,2.261
2095,2.301
2096,2.311
2097,2.351
2098,2.376
2099,2.407
2100,2.47
2101,2.52
2102,2.56
2103,2.56
2104,2.62
2105,2.64
2106,2.69
2107,2.72
2108,2.73
2109,2.75
2110,2.76
2111,2.80
2112,2.85
2113,2.87
2114,2.88
2115,2.93
2116,2.94
2117,2.95
2118,2.96
2119,2.99
2120,3.02
2121,3.02
2122,3.04
2123,3.06
2124,3.06
2125,3.09
2126,3.09
2127,3.12
2128,3.12
2129,3.13
2130,3.14
2131,3.14
2132,3.14
2133,3.16
2134,3.16
2135,3.16
2136,3.17
2137,3.17
2138,3.17
2139,3.17
2140,3.17
2141,3.17
2142,3.168
2143,3.163
2144,3.157
2145,3.157
2146,3.152
2147,3.147
2148,3.142
2149,3.126
2150,3.131
2151,3.126
2152,3.117
2153,3.115
2154,3.105
2155,3.095
2156,3.085
2157,3.075
2158,3.065
2159,3.055
2160,3.045
2161,3.035
2162,3.025
2163,3.015
2164,2.995
2165,2.975
2166,2.965
2167,2.955
2168,2.945
2169,2.935
2170,2.925
2171,2.895
2172,2.885
2173,2.865
2174,2.855
2175,2.845
2176,2.815
2177,2.795
2178,2.785
2179,2.775
2180,2.765
2181,2.725
2182,2.715
2183,2.715
2184,2.695
2185,2.685
2186,2.655
2187,2.645
2188,2.619
2189,2.609
2190,2.589
2191,2.559
2192,2.539
2193,2.523
2194,2.502
2195,2.502
2196,2.465
2197,2.449
2198,2.439
2199,2.418
2200,2.402
2201,2.381
2202,2.376
2203,2.357
2204,2.339
2205,2.323
2206,2.297
2207,2.279
2208,2.279
2209,2.269
2210,2.239
2211,2.229
2212,2.199
2213,2.179
2214,2.169
2215,2.169
2216,2.129
2217,2.129
2218,2.109
2219,2.099
2220,2.069
2221,2.049
2222,2.029
2223,2.019
2224,1.999
2225,1.989
2226,1.969
2227,1.949
2228,1.939
2229,1.919
2230,1.899
2231,1.889
2232,1.869
2233,1.859
2234,1.829
2235,1.839
2236,1.809
2237,1.779
2238,1.769
2239,1.759
2240,1.739
2241,1.729
2242,1.709
2243,1.69
2244,1.66
2245,1.66
2246,1.650
2247,1.643
2248,1.593
2249,1.583
2250,1.583
2251,1.563
2252,1.553
2253,1.533
2254,1.523
2255,1.513
2256,1.503
2257,1.493
2258,1.483
2259,1.473
2260,1.463
2261,1.443
2262,1.433
2263,1.403
2264,1.393
2265,1.383
2266,1.363
2267,1.363
2268,1.343
2269,1.333
2270,1.323
2271,1.313
2272,1.292
2273,1.272
2274,1.272
2275,1.262
2276,1.252
2277,1.252
2278,1.242
2279,1.232
2280,1.219
2281,1.209
2282,1.199
2283,1.189
2284,1.179
2285,1.159
2286,1.159
2287,1.159
2288,1.149
2289,1.139
2290,1.119
2291,1.109
2292,1.109
2293,1.099
2294,1.089
2295,1.079
2296,1.069
2297,1.059
2298,1.059
2299,1.049
2300,1.039
